"date","server name","server id","idle latency","idle jitter","packet loss","download","upload","download bytes","upload bytes","share url","download server count","download latency","download latency jitter","download latency low","download latency high","upload latency","upload latency jitter","upload latency low","upload latency high","idle latency low","idle latency high"
2023-11-11T09:00:00-0600,"Cox - Omaha - Omaha, NE","16621","12.8263","1.58125","0","117701630","14286878","921414528","108583744","https://www.speedtest.net/result/c/bd77acec-27b0-4cf6-bf6a-3eb43a380911","1","24.6293","6.14467","8.645","52.124","24.2662","7.94864","11.166","207.426","12.135","15.153"
2023-11-11T10:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.1888","0.83675","0","117634199","14316529","1033153952","88372776","https://www.speedtest.net/result/c/87cc61c1-5d0f-4e13-96eb-57e2098bde3c","1","23.9156","7.96481","14.777","252.403","26.3191","6.46835","17.893","159.306","12.565","13.458"
2023-11-11T11:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.5594","0.29125","0","116261485","14327732","996191608","60987144","https://www.speedtest.net/result/c/ab5f93c3-80d2-4def-857a-5f584506f64d","1","21.5186","4.93604","9.884","37.553","31.5164","8.56835","18.444","161.358","13.073","14.064"
2023-11-11T12:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.5137","1.49675","0","10594375","14307399","148452768","135206840","https://www.speedtest.net/result/c/a8fb8a77-6c49-4c78-a20e-4cbf9edc72fa","1","13.9149","11.7844","5.176","234.807","37.7387","17.6469","8.097","253.823","12.157","14.35"
2023-11-11T12:02:34-0600,"Cox - Omaha - Omaha, NE","16621","15.2869","3.507","0","50928308","14315961","702185880","144683521","https://www.speedtest.net/result/c/04f9d99d-5edb-4dd6-ba52-cabf1065404e","1","13.9163","8.01726","5.703","55.83","35.9488","11.0412","9.525","264.339","14.449","20.835"
2023-11-11T12:05:01-0600,"Cox - Omaha - Omaha, NE","16621","13.6135","0.844","0","38772747","14294018","440527400","131271833","https://www.speedtest.net/result/c/93dab2d3-45da-4a18-8889-9cda16c66a81","1","13.0068","8.09927","5.723","40.448","30.2115","8.11447","5.652","258.291","12.609","14.497"
2023-11-11T12:12:46-0600,"Cox - Omaha - Omaha, NE","16621","14.6446","1.503","0","49011048","14266473","788995840","57131664","https://www.speedtest.net/result/c/0cc8bab1-5f74-40b4-8a22-39a5afe74d97","1","12.7252","10.1816","5.79","249.575","34.403","12.9677","8.76","257.72","13.065","15.395"
2023-11-11T12:21:13-0600,"Cox - Omaha - Omaha, NE","16621","14.2896","0.48425","0","56884988","14274620","690789584","146905964","https://www.speedtest.net/result/c/516843d2-ab89-442c-adaa-cb8d733dec50","1","13.1696","7.40609","4.738","39.991","28.3532","8.98768","6.682","248.792","13.555","15.03"
2023-11-11T12:32:38-0600,"Cox - Omaha - Omaha, NE","16621","14.0549","1.37625","0","28493610","14441773","320489112","134665022","https://www.speedtest.net/result/c/67bc46f5-2836-4cc1-a852-efa70ab8f355","1","12.2719","7.615","4.613","223.506","31.3291","13.1473","11.19","260.805","12.448","15.84"
2023-11-11T13:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9052","0.491","0","14637777","14289142","170264528","130732396","https://www.speedtest.net/result/c/0a4facd0-9b3e-42da-b2e7-bbc19b740f5c","1","15.5291","10.224","5.342","240.192","44.0246","13.3576","9.731","240.762","13.257","14.58"
2023-11-11T13:12:09-0600,"Cox - Omaha - Omaha, NE","16621","14.2095","6.40525","0","10442629","12336658","133178352","123009670","https://www.speedtest.net/result/c/f6c2c3a2-7eb3-4a5e-9b16-a16911288bb0","1","13.2623","6.35415","4.504","35.252","19.9054","17.4642","7.932","418.65","12.122","23.798"
2023-11-11T13:19:32-0600,"Cox - Omaha - Omaha, NE","16621","14.422","1.65375","0","10431148","13746174","132302312","161162053","https://www.speedtest.net/result/c/36f3bc90-6162-43c4-bc54-32eeeafe6eeb","1","13.2691","11.0165","4.549","239.916","22.1117","12.339","4.043","237.37","12.668","16.16"
2023-11-11T14:00:00-0600,"Cox - Omaha - Omaha, NE","16621","14.2322","1.317","0","5333486","14310538","65384440","61134894","https://www.speedtest.net/result/c/97c4bd8d-41f9-48c9-8c6b-b293586cd99b","1","14.6872","11.8841","4.702","252.737","36.7077","16.0258","11.074","149.41","13.278","16.173"
2023-11-11T14:34:59-0600,"Cox - Omaha - Omaha, NE","16621","13.8534","0.6715","0","114670062","14265679","1114701184","76232352","https://www.speedtest.net/result/c/95f45a35-144b-4ca3-b26f-a7cea515549c","1","17.5127","5.1818","7.375","93.886","20.3671","9.86188","11.389","245.22","13.338","14.869"
2023-11-11T15:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.6105","1.23675","0","115810170","14068990","1212786552","86439400","https://www.speedtest.net/result/c/5233de47-09ac-45e4-90b4-419ad68af915","1","21.2702","6.06508","8.276","264.873","17.6195","11.5316","8.172","481.47","13.055","15.399"
2023-11-11T15:15:50-0600,"Cox - Omaha - Omaha, NE","16621","13.9708","0.64875","0","117129820","13775700","1124198616","98744001","https://www.speedtest.net/result/c/7e3240b0-0db3-4b1c-9b5d-5fa7d5bc7aa8","1","23.1808","5.99181","9.722","247.51","17.2619","8.05816","5.244","234.015","13.571","14.683"
2023-11-11T15:37:16-0600,"Cox - Omaha - Omaha, NE","16621","13.1197","0.52875","0","116117159","14104881","1036309896","101157824","https://www.speedtest.net/result/c/dd0d5139-0ea2-4d0e-8433-2f77589fede1","1","21.8165","5.10342","7.987","43.124","17.7804","8.94958","4.901","244.247","12.268","14.383"
2023-11-11T16:00:00-0600,"Cox - Omaha - Omaha, NE","16621","13.9693","2.0115","0","114129956","14084698","1076603928","98551088","https://www.speedtest.net/result/c/df6cc07e-b80d-4a8a-bb67-716047c49c54","1","19.4339","9.00598","8.288","222.634","23.0665","9.53071","11.032","210.969","11.628","14.721"
